gene_id,gene_name,gene_type,replicated_overall_rank,overall_rank,average_rank,n_withinTop100,Br6522_LC_1_round1_single,Br6522_LC_2_round1_single,Br8153_LC_round2_left,Br8153_LC_round2_right,Br2701_LC_round2_top,Br2701_LC_round2_bottom,Br6522_LC_round3_leftbottom,Br6522_LC_round3_right,Br8079_LC_round3_left,Br8079_LC_round3_right,Br2701_LC_round3_left,Br2701_LC_round3_right,Br8153_LC_round3_left
ENSG00000105519,CAPS,protein_coding,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
ENSG00000006016,CRLF1,protein_coding,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
ENSG00000118271,TTR,protein_coding,NA,3,9.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,17,NA,NA
ENSG00000123454,DBH,protein_coding,1,4,12.38461538,13,13,36,12,17,3,1,6,6,14,14,1,4,34
ENSG00000004838,ZMYND10,protein_coding,NA,5,19.5,2,NA,NA,NA,NA,NA,NA,NA,NA,18,21,NA,NA,NA
ENSG00000186710,CFAP73,protein_coding,NA,6,20,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
ENSG00000277586,NEFL,protein_coding,2,7,20.30769231,12,5,25,9,2,18,3,11,8,40,104,9,12,18
ENSG00000103546,SLC6A2,protein_coding,3,8,22,12,47,51,11,12,NA,6,13,5,16,42,2,1,58
ENSG00000198938,MT-CO3,protein_coding,4,9,24.38461538,12,4,2,1,1,11,10,3,12,3,2,236,29,3
ENSG00000135046,ANXA1,protein_coding,NA,10,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
ENSG00000180176,TH,protein_coding,5,11,28.16666667,11,34,130,16,58,NA,4,30,7,8,27,7,8,9
ENSG00000132321,IQCA1,protein_coding,NA,12,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA
ENSG00000154277,UCHL1,protein_coding,6,13,31.15384615,13,1,13,31,10,16,34,20,51,61,99,11,10,48
ENSG00000104435,STMN2,protein_coding,7,14,31.69230769,13,16,18,71,45,29,18,22,16,52,44,31,5,45
ENSG00000131095,GFAP,protein_coding,8,15,32.46153846,12,102,12,59,80,22,20,24,23,10,4,20,34,12
ENSG00000123560,PLP1,protein_coding,9,16,35.30769231,12,159,10,5,50,32,61,2,4,23,20,28,60,5
ENSG00000080824,HSP90AA1,protein_coding,10,17,40.23076923,13,2,5,57,69,71,25,21,10,30,9,79,76,69
ENSG00000198804,MT-CO1,protein_coding,11,18,43.53846154,12,27,4,4,8,2,37,36,28,6,13,93,287,21
ENSG00000197971,MBP,protein_coding,12,19,43.92307692,12,9,1,8,78,84,35,1,1,7,11,27,270,39
ENSG00000165462,PHOX2A,protein_coding,NA,20,44,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,31,NA
ENSG00000269028,MTRNR2L12,protein_coding,13,21,45.38461538,11,18,23,17,7,6,28,4,46,85,53,156,124,23
ENSG00000100979,PLTP,protein_coding,NA,22,45.5,2,NA,NA,NA,NA,NA,NA,NA,NA,32,59,NA,NA,NA
ENSG00000198763,MT-ND2,protein_coding,14,23,46.15384615,12,28,29,10,19,7,15,31,25,5,5,74,342,10
ENSG00000266844,AC093330.1,lncRNA,NA,24,48,1,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000102924,CBLN1,protein_coding,NA,25,49,2,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,38
ENSG00000113140,SPARC,protein_coding,15,26,50,10,48,31,111,39,49,39,10,54,21,34,101,106,7
ENSG00000198727,MT-CYB,protein_coding,16,27,50.84615385,11,64,8,21,5,19,19,112,131,38,46,85,96,17
ENSG00000087460,GNAS,protein_coding,17,28,52.61538462,13,3,16,56,71,94,29,41,89,71,74,40,63,37
ENSG00000101439,CST3,protein_coding,18,29,55.38461538,11,24,42,26,22,50,47,178,41,37,22,94,135,2
ENSG00000262202,AC007952.4,lncRNA,NA,30.5,57,2,NA,NA,NA,NA,NA,NA,NA,NA,54,60,NA,NA,NA
ENSG00000177989,ODF3B,protein_coding,NA,30.5,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA
ENSG00000165646,SLC18A2,protein_coding,19,32,58,12,69,476,14,6,4,11,28,34,29,24,4,2,53
ENSG00000120885,CLU,protein_coding,20,33,59.84615385,11,15,57,35,68,20,31,243,91,13,7,67,120,11
ENSG00000188536,HBA2,protein_coding,NA,34,62.88888889,7,87,70,27,NA,8,5,53,153,NA,NA,19,144,NA
ENSG00000125148,MT2A,protein_coding,21,35,63,10,10,60,29,11,73,92,8,13,122,93,133,174,1
ENSG00000171951,SCG2,protein_coding,22,36,63.69230769,12,23,37,51,63,99,62,149,82,31,39,75,57,60
ENSG00000198886,MT-ND4,protein_coding,23,37,67.07692308,11,17,9,6,15,12,26,15,19,15,17,210,503,8
ENSG00000198899,MT-ATP6,protein_coding,24,38,68.76923077,10,59,11,2,4,10,43,87,136,9,16,325,178,14
ENSG00000177575,CD163,protein_coding,NA,39.5,69,2,NA,NA,NA,NA,NA,NA,NA,NA,55,83,NA,NA,NA
ENSG00000198888,MT-ND1,protein_coding,25,39.5,69,10,7,7,3,13,17,22,90,143,4,8,214,363,6
ENSG00000130203,APOE,protein_coding,NA,41,70.69230769,9,35,84,66,30,34,30,174,106,91,40,109,101,19
ENSG00000206172,HBA1,protein_coding,NA,42,71.33333333,2,NA,NA,NA,NA,NA,9,170,NA,NA,NA,35,NA,NA
ENSG00000258947,TUBB3,protein_coding,26,43,71.53846154,10,42,71,63,14,56,41,38,27,207,193,26,32,120
ENSG00000104722,NEFM,protein_coding,27,44,71.75,10,55,58,41,236,NA,50,12,33,35,78,77,36,150
ENSG00000198840,MT-ND3,protein_coding,28,45,75.07692308,10,81,6,7,3,1,2,457,18,83,52,125,116,25
ENSG00000131711,MAP1B,protein_coding,NA,46,76.76923077,9,20,14,142,47,75,79,17,15,28,30,164,246,121
ENSG00000196136,SERPINA3,protein_coding,NA,47,77.5,2,NA,NA,NA,NA,NA,NA,NA,NA,64,91,NA,NA,NA
ENSG00000008283,CYB561,protein_coding,29,48,77.83333333,10,433,185,13,16,NA,36,27,68,50,23,5,6,72
ENSG00000143153,ATP1B1,protein_coding,NA,49,77.84615385,8,26,34,69,134,26,7,70,237,123,113,13,20,140
ENSG00000198786,MT-ND5,protein_coding,NA,50,88.76923077,8,8,15,24,56,9,8,270,185,104,178,90,181,26
ENSG00000212907,MT-ND4L,protein_coding,NA,51,91.76923077,9,54,24,68,27,23,32,337,45,107,224,34,150,68
ENSG00000173369,C1QB,protein_coding,NA,52,92,2,NA,NA,NA,NA,NA,NA,NA,NA,89,95,NA,NA,NA
ENSG00000170027,YWHAG,protein_coding,NA,53,92.58333333,8,29,49,46,82,NA,58,78,26,299,182,102,23,137
ENSG00000108828,VAT1,protein_coding,30,54,94.92307692,10,191,447,70,127,44,23,98,85,24,28,12,15,70
ENSG00000143156,NME7,protein_coding,NA,55,95,1,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000171885,AQP4,protein_coding,NA,56,96.84615385,8,49,148,49,23,25,44,23,49,168,159,288,219,15
ENSG00000123416,TUBA1B,protein_coding,NA,57,100.2307692,7,22,48,125,66,60,49,55,35,233,199,107,182,122
ENSG00000228253,MT-ATP8,protein_coding,NA,58,100.6153846,7,51,178,33,106,13,24,369,43,125,139,92,111,24
ENSG00000149591,TAGLN,protein_coding,NA,59,104.5,1,NA,NA,NA,NA,NA,NA,NA,NA,184,25,NA,NA,NA
ENSG00000198712,MT-CO2,protein_coding,31,60,105.8461538,10,40,3,45,25,14,12,71,149,19,15,496,459,28
ENSG00000111640,GAPDH,protein_coding,NA,61,109.8461538,7,41,398,124,227,62,33,131,134,44,128,24,51,31
ENSG00000109107,ALDOC,protein_coding,NA,62,110,9,21,53,102,311,46,53,63,24,215,322,88,61,71
ENSG00000185559,DLK1,protein_coding,NA,63,110.2222222,5,74,239,NA,NA,NA,NA,43,64,189,191,16,3,173
ENSG00000251562,MALAT1,lncRNA,NA,64,110.3,8,30,19,99,NA,NA,NA,9,2,56,51,8,162,667
ENSG00000089199,CHGB,protein_coding,NA,65,110.7,6,115,81,28,20,NA,NA,60,37,210,NA,170,33,353
ENSG00000096384,HSP90AB1,protein_coding,NA,66,112.3846154,7,19,41,189,146,52,45,241,59,260,112,68,11,218
ENSG00000087250,MT3,protein_coding,NA,67,113.3846154,7,75,28,179,59,24,118,244,20,111,64,132,371,49
ENSG00000109472,CPE,protein_coding,NA,68,114.8461538,7,12,26,112,129,53,48,34,38,253,140,232,400,16
ENSG00000025708,TYMP,protein_coding,NA,69,115.5,1,NA,NA,NA,NA,NA,NA,NA,NA,62,169,NA,NA,NA
ENSG00000165795,NDRG2,protein_coding,32,70,117.1538462,10,94,547,86,42,45,73,65,95,59,58,154,164,41
ENSG00000173372,C1QA,protein_coding,NA,71,123,1,NA,NA,NA,NA,NA,NA,NA,NA,205,41,NA,NA,NA
ENSG00000244734,HBB,protein_coding,NA,72,124,4,199,NA,106,NA,5,17,136,50,NA,NA,14,320,269
ENSG00000282885,AL627171.2,lncRNA,NA,73,125.1,7,38,77,25,29,NA,NA,14,112,139,63,718,NA,36
ENSG00000137267,TUBB2A,protein_coding,NA,74,125.5,6,6,17,110,36,NA,137,16,204,493,292,39,21,135
ENSG00000075624,ACTB,protein_coding,NA,75,130.1538462,6,133,124,144,143,85,90,373,72,51,84,147,37,209
ENSG00000231389,HLA-DPA1,protein_coding,NA,76,131,0,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA
ENSG00000154096,THY1,protein_coding,NA,77,132.0833333,6,136,139,98,43,NA,52,42,77,237,361,80,213,107
ENSG00000034510,TMSB10,protein_coding,NA,78,133.75,6,43,67,283,77,NA,115,181,166,53,86,295,163,76
ENSG00000169715,MT1E,protein_coding,NA,79,135.3846154,7,162,372,42,24,59,57,104,40,187,500,129,80,4
ENSG00000265972,TXNIP,protein_coding,NA,80,142,0,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA
ENSG00000170315,UBB,protein_coding,NA,81,142.9230769,8,11,20,73,18,63,27,647,366,177,116,71,212,57
ENSG00000197746,PSAP,protein_coding,NA,82,144.7692308,8,62,102,289,161,89,54,543,224,47,90,62,93,66
ENSG00000160014,CALM3,protein_coding,NA,83,146.5,6,61,62,338,122,NA,139,66,47,306,284,204,42,87
ENSG00000167552,TUBA1A,protein_coding,NA,84,146.5384615,6,247,30,91,157,95,141,88,395,97,134,64,175,191
ENSG00000163399,ATP1A1,protein_coding,NA,85,146.75,3,233,128,180,70,NA,55,156,184,108,160,73,102,312
ENSG00000175868,CALCB,protein_coding,NA,86,147,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
ENSG00000143933,CALM2,protein_coding,NA,87,147.3846154,9,65,66,85,38,27,67,635,75,198,274,89,62,235
ENSG00000165949,IFI27,protein_coding,NA,88,148.7272727,6,91,129,37,130,NA,NA,74,14,45,43,248,463,362
ENSG00000135821,GLUL,protein_coding,NA,89,149.0769231,7,85,111,128,21,66,132,69,36,80,135,310,718,47
ENSG00000132639,SNAP25,protein_coding,NA,90,149.7692308,6,50,64,58,264,76,77,159,207,382,150,113,268,79
ENSG00000164241,C5orf63,protein_coding,NA,91,149.8181818,7,685,428,NA,NA,28,42,121,3,12,12,33,262,22
ENSG00000125462,C1orf61,protein_coding,NA,92,150.2307692,8,60,45,77,52,70,51,111,17,355,469,258,361,27
ENSG00000087074,PPP1R15A,protein_coding,NA,93,153,0,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA
ENSG00000197756,RPL37A,protein_coding,NA,94,153.3846154,6,146,91,212,102,100,122,94,21,86,73,223,596,128
ENSG00000110436,SLC1A2,protein_coding,NA,95,154.4166667,5,32,115,62,120,51,111,18,103,206,NA,365,657,13
ENSG00000147571,CRH,protein_coding,NA,96,155,1,NA,NA,NA,NA,NA,NA,25,285,NA,NA,NA,NA,NA
ENSG00000103034,NDRG4,protein_coding,NA,97,155.3333333,6,77,59,331,74,NA,46,58,132,301,210,61,278,237
ENSG00000152583,SPARCL1,protein_coding,NA,98,160.9230769,8,53,33,67,149,92,59,37,66,336,212,332,621,35
ENSG00000130643,CALY,protein_coding,NA,99,161.5,5,125,237,138,276,NA,100,62,11,334,382,128,90,55
ENSG00000173267,SNCG,protein_coding,NA,100,161.5833333,3,205,133,197,119,NA,126,86,88,219,132,30,417,187
ENSG00000167996,FTH1,protein_coding,NA,101,162.3076923,5,319,43,119,239,78,192,46,311,88,97,130,321,127
ENSG00000159189,C1QC,protein_coding,NA,102,167.5,1,NA,NA,NA,NA,NA,NA,NA,NA,239,96,NA,NA,NA
ENSG00000152661,GJA1,protein_coding,NA,103,168.8333333,7,96,184,54,267,NA,38,40,124,42,85,415,652,29
ENSG00000141433,ADCYAP1,protein_coding,NA,104,169.5,1,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,NA,NA,64
ENSG00000091513,TF,protein_coding,NA,105,170.4166667,6,461,39,15,NA,67,205,7,98,132,449,178,374,20
ENSG00000014641,MDH1,protein_coding,NA,106,170.8888889,2,129,40,126,408,NA,NA,158,109,NA,NA,167,100,301
ENSG00000255823,MTRNR2L8,protein_coding,NA,107,170.9230769,6,36,55,43,296,15,21,965,31,200,130,105,214,111
ENSG00000050165,DKK3,protein_coding,NA,108,172.0833333,3,126,72,147,62,NA,166,92,173,476,228,158,180,185
ENSG00000166165,CKB,protein_coding,NA,109,172.2307692,6,37,32,185,132,38,69,283,90,193,208,262,658,52
ENSG00000160307,S100B,protein_coding,NA,110,175.2307692,8,1013,123,19,366,97,85,19,157,36,48,84,189,42
ENSG00000168314,MOBP,protein_coding,NA,111,175.3333333,6,538,83,23,NA,115,223,5,65,43,131,56,605,217
ENSG00000078018,MAP2,protein_coding,NA,112,176.5,6,99,96,255,31,NA,97,486,141,231,376,97,115,94
ENSG00000067715,SYT1,protein_coding,NA,113,176.5833333,6,45,44,150,140,NA,56,162,99,387,129,25,24,858
ENSG00000133318,RTN3,protein_coding,NA,114,178.3076923,7,72,94,175,336,39,99,59,84,545,333,116,69,297
ENSG00000204655,MOG,protein_coding,NA,115,180,0,NA,NA,NA,NA,NA,NA,102,258,NA,NA,NA,NA,NA
ENSG00000005486,RHBDD2,protein_coding,NA,116,180.1666667,5,106,306,371,207,NA,96,490,221,77,56,52,54,126
ENSG00000229117,RPL41,protein_coding,NA,117,180.2307692,4,82,164,103,234,106,212,185,73,92,123,371,513,85
ENSG00000188229,TUBB4B,protein_coding,NA,118,183.4166667,3,143,332,157,147,NA,89,224,138,27,36,390,384,134
ENSG00000184009,ACTG1,protein_coding,NA,119,183.8461538,5,88,22,89,250,65,75,177,441,333,111,246,230,263
ENSG00000162511,LAPTM5,protein_coding,NA,120,184,0,NA,NA,NA,NA,NA,NA,NA,NA,141,227,NA,NA,NA
ENSG00000111669,TPI1,protein_coding,NA,121,186,3,123,107,251,353,21,194,56,22,339,286,302,250,114
ENSG00000198668,CALM1,protein_coding,NA,122,187.3846154,4,78,125,397,265,103,68,85,215,81,285,191,346,197
ENSG00000162188,GNG3,protein_coding,NA,123,189.3333333,3,132,464,270,225,NA,94,240,314,194,146,55,9,129
ENSG00000132872,SYT4,protein_coding,NA,124,191.8181818,4,230,616,116,181,NA,NA,361,200,73,77,63,107,86
ENSG00000147416,ATP6V1B2,protein_coding,NA,125,193.7272727,4,253,54,223,93,NA,NA,129,560,127,370,91,86,145
ENSG00000170962,PDGFD,protein_coding,NA,126,195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA
ENSG00000147256,ARHGAP36,protein_coding,NA,127,195.0909091,6,415,834,47,105,NA,16,336,238,76,NA,10,19,50
ENSG00000135916,ITM2C,protein_coding,NA,128,195.4545455,3,56,480,226,NA,30,40,127,142,NA,220,322,403,104
ENSG00000100285,NEFH,protein_coding,NA,129,195.7272727,3,277,431,219,136,NA,NA,52,39,116,243,96,322,222
ENSG00000185883,ATP6V0C,protein_coding,NA,130,198.4615385,5,63,140,246,32,43,86,655,30,267,419,319,112,168
ENSG00000196230,TUBB,protein_coding,NA,131,202.9166667,4,186,65,225,182,NA,65,232,284,186,245,65,98,602
ENSG00000117450,PRDX1,protein_coding,NA,132,203.1538462,2,73,268,239,141,102,176,196,74,532,155,174,319,192
ENSG00000092096,SLC22A17,protein_coding,NA,133,204.6666667,4,57,74,109,150,NA,144,80,105,609,560,301,200,67
ENSG00000211445,GPX3,protein_coding,NA,134,206.0769231,7,291,488,40,246,35,14,1139,133,33,32,3,17,208
ENSG00000130208,APOC1,protein_coding,NA,135,206.5,2,533,NA,NA,115,NA,NA,135,288,98,70,NA,NA,NA
ENSG00000264364,DYNLL2,protein_coding,NA,136,206.5454545,1,214,531,131,NA,NA,167,249,118,172,229,171,97,193
ENSG00000128245,YWHAH,protein_coding,NA,137,208.6363636,6,97,97,258,41,NA,NA,68,57,615,501,342,77,142
ENSG00000111716,LDHB,protein_coding,NA,138,209.8461538,5,25,27,181,218,40,72,315,42,577,302,347,436,146
ENSG00000067225,PKM,protein_coding,NA,139,210.2307692,3,44,131,263,402,82,151,425,257,57,101,323,251,246
ENSG00000198300,PEG3,protein_coding,NA,140,214.1666667,2,197,251,137,302,NA,71,535,188,335,225,141,87,101
ENSG00000111674,ENO2,protein_coding,NA,141,215.0769231,4,121,193,509,358,33,76,100,150,279,587,37,202,151
ENSG00000168000,BSCL2,protein_coding,NA,142,216.25,2,110,141,312,346,NA,107,207,429,133,510,23,64,213
ENSG00000105409,ATP1A3,protein_coding,NA,143,217.4545455,5,92,35,517,270,NA,NA,45,63,509,371,110,284,96
ENSG00000188191,PRKAR1B,protein_coding,NA,144,218.4,2,452,201,191,162,NA,NA,96,206,466,NA,120,48,242
ENSG00000133872,SARAF,protein_coding,NA,145,221.3076923,4,139,262,129,85,96,64,146,1284,146,137,49,186,154
ENSG00000189221,MAOA,protein_coding,NA,146,222.5833333,5,473,536,52,363,NA,60,61,101,318,109,15,45,538
ENSG00000107317,PTGDS,protein_coding,NA,147,222.8461538,5,67,38,329,180,36,134,961,126,156,388,87,304,91
ENSG00000139970,RTN1,protein_coding,NA,148,223.6923077,7,52,104,344,49,88,74,1197,58,377,253,51,55,206
ENSG00000006128,TAC1,protein_coding,NA,149,224.4285714,2,208,436,134,190,NA,NA,26,79,NA,NA,NA,NA,498
ENSG00000176788,BASP1,protein_coding,NA,150,225.4545455,5,46,46,92,61,NA,NA,922,62,157,201,320,454,119
ENSG00000154917,RAB6B,protein_coding,NA,151,226.3333333,2,333,173,374,9,NA,121,435,260,321,345,127,39,179
ENSG00000101210,EEF1A2,protein_coding,NA,152,228.2727273,3,284,275,268,215,NA,NA,57,110,211,465,43,44,539
ENSG00000196262,PPIA,protein_coding,NA,153,231.4166667,3,68,89,240,135,NA,162,345,168,527,539,244,56,204
ENSG00000127824,TUBA4A,protein_coding,NA,154.5,232,1,160,250,160,185,NA,NA,50,194,NA,NA,335,248,506
ENSG00000170458,CD14,protein_coding,NA,154.5,232,0,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,NA,NA
ENSG00000171314,PGAM1,protein_coding,NA,156,232.5,3,157,113,425,145,NA,177,97,121,521,525,350,78,81
ENSG00000172020,GAP43,protein_coding,NA,157,234,2,116,186,152,65,NA,NA,217,52,434,420,420,341,171
ENSG00000187193,MT1X,protein_coding,NA,158,234.1111111,3,104,NA,114,33,NA,NA,29,211,338,387,840,NA,51
ENSG00000189043,NDUFA4,protein_coding,NA,159,238.4166667,5,58,78,55,60,NA,220,656,130,719,171,201,435,78
ENSG00000137409,MTCH1,protein_coding,NA,160,239.8461538,4,79,191,205,95,61,135,219,388,823,390,72,330,130
ENSG00000145362,ANK2,protein_coding,NA,161,243.6666667,2,239,203,495,372,NA,119,192,425,213,100,225,79,262
ENSG00000097021,ACOT7,protein_coding,NA,162,243.8181818,1,185,510,177,92,NA,NA,108,304,188,262,285,141,430
ENSG00000010404,IDS,protein_coding,NA,163,244.75,2,31,236,121,331,NA,157,82,287,344,557,313,369,109
ENSG00000071082,RPL31,protein_coding,NA,164,246.6666667,2,271,63,224,81,NA,231,492,119,126,121,396,419,417
ENSG00000168268,NT5DC2,protein_coding,NA,165,249.125,4,674,NA,NA,NA,NA,NA,107,161,26,45,69,26,885
ENSG00000109971,HSPA8,protein_coding,NA,166,250,4,14,21,347,194,NA,NA,84,53,707,NA,338,604,138
ENSG00000148798,INA,protein_coding,NA,167,250.6666667,2,171,700,170,48,NA,NA,144,298,NA,NA,299,83,343
ENSG00000133112,TPT1,protein_coding,NA,168,251.6666667,3,188,87,290,223,NA,116,920,195,60,161,363,337,80
ENSG00000150625,GPM6A,protein_coding,NA,169,252.9090909,5,93,56,118,99,NA,NA,565,29,463,505,599,209,46
ENSG00000135744,AGT,protein_coding,NA,170,253.1818182,4,375,322,171,NA,NA,13,303,439,11,6,744,339,62
ENSG00000213741,RPS29,protein_coding,NA,171,253.6923077,1,141,321,249,117,105,142,620,198,220,235,525,381,44
ENSG00000106976,DNM1,protein_coding,NA,172,255.0833333,3,175,309,158,183,NA,88,72,256,553,586,42,234,405
ENSG00000073969,NSF,protein_coding,NA,173,255.0909091,1,120,214,428,154,NA,NA,142,335,420,359,311,240,83
ENSG00000134333,LDHA,protein_coding,NA,174,256.1818182,1,71,207,410,355,NA,NA,186,147,398,365,234,129,316
ENSG00000054356,PTPRN,protein_coding,NA,175,256.9166667,1,145,146,357,160,NA,189,1001,129,362,124,70,218,182
ENSG00000127561,SYNGR3,protein_coding,NA,176,257.5454545,2,758,287,194,NA,NA,130,99,420,229,142,36,109,429
ENSG00000117984,CTSD,protein_coding,NA,177,258.5,1,117,349,279,410,NA,108,305,452,84,163,139,265,431
ENSG00000148053,NTRK2,protein_coding,NA,178,260.6363636,1,155,433,133,231,NA,NA,125,87,309,173,472,591,158
ENSG00000105223,PLD3,protein_coding,NA,179,261.1538462,5,83,196,369,201,80,87,743,328,345,410,29,28,496
ENSG00000150991,UBC,protein_coding,NA,180,262.8461538,2,70,122,339,228,74,159,986,114,262,211,243,216,393
ENSG00000142168,SOD1,protein_coding,NA,181,263.5,3,33,166,132,57,NA,148,48,156,626,617,241,651,287
ENSG00000128016,ZFP36,protein_coding,NA,182,263.6666667,0,NA,NA,NA,NA,NA,NA,NA,483,167,141,NA,NA,NA
ENSG00000018625,ATP1A2,protein_coding,NA,183,265.1666667,3,101,271,96,377,NA,153,89,182,490,487,516,390,30
ENSG00000165678,GHITM,protein_coding,NA,184,267.5454545,1,109,222,257,170,NA,NA,228,94,313,618,327,378,227
ENSG00000136854,STXBP1,protein_coding,NA,185,268.5833333,0,189,121,195,368,NA,143,264,169,589,444,153,204,384
ENSG00000164924,YWHAZ,protein_coding,NA,186,269,4,98,288,165,75,NA,136,882,222,667,293,81,72,249
ENSG00000108576,SLC6A4,protein_coding,NA,187,270.2,0,328,280,NA,NA,NA,NA,163,313,NA,NA,NA,NA,267
ENSG00000110955,ATP5F1B,protein_coding,NA,188,271.7272727,3,39,47,432,96,NA,NA,331,190,467,529,391,328,139
ENSG00000129244,ATP1B2,protein_coding,NA,189,273.5454545,3,80,410,76,NA,NA,150,169,202,635,577,283,395,32
ENSG00000046653,GPM6B,protein_coding,NA,190,273.8461538,2,426,821,311,409,108,178,297,164,39,69,298,299,141
ENSG00000213190,MLLT11,protein_coding,NA,191,276,1,148,489,120,138,NA,131,522,228,324,541,297,99,275
ENSG00000122012,SV2C,protein_coding,NA,192,277.25,1,306,651,NA,NA,NA,NA,138,248,174,NA,54,215,432
ENSG00000156508,EEF1A1,protein_coding,NA,193,277.6153846,4,408,179,81,240,93,63,1375,107,72,117,422,329,123
ENSG00000167815,PRDX2,protein_coding,NA,194,283.1666667,3,158,281,491,362,NA,66,124,498,528,402,47,85,356
ENSG00000205542,TMSB4X,protein_coding,NA,195,283.3846154,3,569,61,139,184,110,84,83,1589,118,175,162,244,166
ENSG00000089220,PEBP1,protein_coding,NA,196,288,3,198,50,403,330,104,127,1021,56,93,309,108,305,640
ENSG00000087086,FTL,protein_coding,NA,197,291.3846154,5,759,190,203,327,31,78,1070,589,67,47,98,198,131
ENSG00000136160,EDNRB,protein_coding,NA,198,294.3333333,0,174,646,NA,NA,NA,NA,113,159,NA,NA,566,NA,108
ENSG00000127022,CANX,protein_coding,NA,199,294.5,3,216,68,501,258,NA,191,590,685,159,66,274,431,95
ENSG00000197043,ANXA6,protein_coding,NA,200,295.1818182,2,414,1011,373,126,NA,NA,122,120,170,281,41,68,521
ENSG00000240972,MIF,protein_coding,NA,201,296.3333333,2,225,453,39,325,NA,120,1138,262,171,314,203,241,65
ENSG00000135926,TMBIM1,protein_coding,NA,202,297.5,0,NA,NA,NA,NA,NA,NA,NA,NA,408,187,NA,NA,NA
ENSG00000159720,ATP6V0D1,protein_coding,NA,203,299.75,3,393,385,75,133,NA,160,1068,289,130,126,45,70,723
ENSG00000005882,PDK2,protein_coding,NA,204,300,0,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA
ENSG00000109846,CRYAB,protein_coding,NA,205,300.0833333,4,660,602,18,NA,91,208,44,353,113,198,696,585,33
ENSG00000131507,NDFIP1,protein_coding,NA,206,300.3333333,0,181,195,265,173,NA,152,1031,351,430,360,149,118,199
ENSG00000115310,RTN4,protein_coding,NA,207,301.7692308,2,103,144,253,333,55,169,593,148,353,326,58,359,1029
ENSG00000137285,TUBB2B,protein_coding,NA,208,301.9230769,1,404,163,393,283,69,140,184,193,154,133,980,561,268
ENSG00000105270,CLIP3,protein_coding,NA,209,302.2307692,4,204,540,220,334,54,80,594,93,530,446,95,323,416
ENSG00000152932,RAB3C,protein_coding,NA,210,302.4,1,341,712,276,144,NA,NA,239,354,385,NA,86,127,360
ENSG00000128564,VGF,protein_coding,NA,211,302.5,2,410,199,NA,NA,NA,NA,165,358,63,55,972,NA,198
ENSG00000242265,PEG10,protein_coding,NA,212,302.9,2,252,391,431,375,NA,NA,546,78,542,NA,82,136,196
ENSG00000074800,ENO1,protein_coding,NA,213,303.4615385,1,329,566,122,188,47,106,1550,175,274,149,119,177,143
ENSG00000166426,CRABP1,protein_coding,NA,214,306.3333333,0,135,335,NA,NA,NA,NA,171,170,NA,NA,351,NA,676
ENSG00000126214,KLC1,protein_coding,NA,215,306.5833333,1,464,705,105,229,NA,95,520,303,162,363,106,108,519
ENSG00000105649,RAB3A,protein_coding,NA,216,306.9,1,182,472,248,213,NA,NA,101,86,595,NA,169,410,593
ENSG00000125814,NAPB,protein_coding,NA,217,308.4166667,1,173,118,269,306,NA,138,1113,426,245,535,144,59,175
ENSG00000152234,ATP5F1A,protein_coding,NA,218,309.2727273,2,161,90,231,398,NA,NA,231,97,812,528,397,313,144
ENSG00000171867,PRNP,protein_coding,NA,219,309.6666667,1,194,545,524,242,NA,91,427,322,394,136,261,223,357
ENSG00000148672,GLUD1,protein_coding,NA,220,310,0,481,325,NA,NA,NA,184,296,108,706,435,268,173,124
ENSG00000144713,RPL32,protein_coding,NA,221,311.75,2,112,886,341,37,NA,147,736,230,79,257,346,422,148
ENSG00000174684,B4GAT1,protein_coding,NA,222,312.3636364,0,201,149,207,191,NA,NA,501,212,628,461,462,160,264
ENSG00000161203,AP2M1,protein_coding,NA,223,313,1,281,369,336,203,NA,201,265,179,418,593,83,352,476
ENSG00000172757,CFL1,protein_coding,NA,224,316.3333333,1,113,697,466,114,NA,181,1194,83,266,170,190,121,201
